sample,file,Condition
SP_B1,./0_result_spiny/star_salmon/SP_B1/quant.sf,SP_B
SP_B2,./0_result_spiny/star_salmon/SP_B2/quant.sf,SP_B
SP_B3,./0_result_spiny/star_salmon/SP_B3/quant.sf,SP_B
SP_C1,./0_result_spiny/star_salmon/SP_C1/quant.sf,SP_C
SP_C2,./0_result_spiny/star_salmon/SP_C2/quant.sf,SP_C
SP_C3,./0_result_spiny/star_salmon/SP_C3/quant.sf,SP_C
