sample,file,Condition
MO_B1,./0_result_mouse/star_salmon/MO_B1/quant.sf,MO_B
MO_B2,./0_result_mouse/star_salmon/MO_B2/quant.sf,MO_B
MO_B3,./0_result_mouse/star_salmon/MO_B3/quant.sf,MO_B
MO_C1,./0_result_mouse/star_salmon/MO_C1/quant.sf,MO_C
MO_C2,./0_result_mouse/star_salmon/MO_C2/quant.sf,MO_C
MO_C3,./0_result_mouse/star_salmon/MO_C3/quant.sf,MO_C
