Drug,Concentration (µM),mouse_1,pig_1,dog_1,dog_2,mouse_2,mouse_3,cynomolgus_1,cynomolgus_2,human_1,spiny_1,spiny_2,goat_1,ferret_1,ferret_2,blackhouse_1,serotine_1,serotine_2,hmouse_1,steppe_1,blackhouse_2,steppe_2,spiny_3,hmouse_2,rat_1,ferret_3,goat_2,serotine_3,cattle_1,pig_2,blackhouse_3,cattle_2,chick_2,human_2,cattle_3,chick_3,chick_1,sakhalin_1,sakhalin_2,guineapig_3,rat_2,rat_3,marmoset_1,guineapig_1,guineapig_2,marmoset_2,marmoset_3,pig_3,sakhalin_3,human_3,human_4,cynomolgus_3,hmouse_3,goat_3
Enzalutamid,"0,08",82.10397832,93.71607265,77.13301269,102.47233,81.55111651,127.08285,121.9914276,77.34707374,102.6763854,119.6515975,148.677934,98.19343961,99.99672943,90.61528479,130.3860996,69.3116699,105.6052801,80.1813534,125.1967968,113.1502999,89.57075697,109.944013,77.35848924,130.3152875,102.1060139,139.0576196,74.53515866,137.8651699,88.10289055,46.00012461,114.5471458,63.68648879,213.7763599,95.12650698,81.02532146,101.6217206,99.17881495,133.7671048,133.5816288,110.3212092,71.03309408,33.19702245,40.18429891,51.74819042,88.39529313,119.3336853,72.36113582,36.13971487,111.223317,71.44149264,122.8492605,88.8420303,79.66983394
Enzalutamid,"0,400",116.0152021,148.4043131,66.75021802,87.9241394,94.72879388,146.67217,64.2536674,137.2677513,48.31514664,129.4728607,161.4417097,104.1741695,116.1302766,105.9741164,88.23514512,107.3623413,77.14172315,138.2562423,94.06594337,110.1289384,109.108865,108.2389474,130.7075584,68.11306124,89.04080011,162.500745,123.1422917,107.4481012,163.1234432,89.49885361,113.8775354,93.89378031,108.2922472,93.52290994,74.55230997,113.5633162,111.3552688,64.28433749,78.43753772,65.4596273,82.80894347,128.4100983,189.2022313,168.5765837,177.7366746,183.523973,120.2455787,66.50794701,68.49763396,106.3025816,50.30008054,92.5462672,76.28132069
Enzalutamid,2,75.39239298,146.026902,52.63258399,76.35174385,101.9913993,80.051245,162.3441491,60.69314847,108.9371468,92.38549371,98.88966229,101.8228172,84.56387431,91.89441339,88.55935332,75.82268036,110.5164354,94.16960723,159.1858527,119.3434019,138.508444,88.19133356,129.7888005,110.9005821,174.5704215,44.80288433,115.9288005,114.0883739,67.23662121,60.00095884,97.47341274,69.9715105,85.98324871,155.7957328,82.1276267,130.5257438,114.9060467,54.29803248,84.55938574,95.03299535,100.5307185,35.47889233,25.6110885,19.96001631,81.80037026,134.7673142,69.32461123,45.9250121,101.5441799,131.1042324,167.0361004,75.537829,116.7227683
Enzalutamid,10,70.78982521,93.9609811,96.32002809,58.48521323,92.55192862,62.535607,26.5428314,41.33562693,92.39317479,115.554425,94.65255776,125.4396607,105.7892235,90.32244812,74.80319371,78.93401732,87.89863315,80.06381827,98.68827146,108.0200458,54.71036853,51.60310552,59.99615444,148.5502483,177.2003308,111.4564145,69.08411627,95.18958834,95.99384246,13.63173347,81.12929495,75.5691015,49.9706739,58.36422371,49.43855188,113.9072732,48.35145779,65.5428438,90.58308465,118.1298945,57.94106884,44.24402506,74.92915273,98.84709891,137.4300819,52.94698051,91.25525578,28.89855529,84.40703187,116.2021357,16.07263699,119.562504,93.65190422
Thiomyristoyl,"0,0032",93.641898,63.53402526,159.6353055,132.9084478,99.71289509,82.944135,133.1049866,125.2644878,128.6782811,105.3051821,91.45989376,105.0430353,96.69903153,89.8747799,116.3271007,101.7953066,98.82191349,119.1848695,99.55549027,110.9612618,99.00555016,90.96784932,99.72128885,79.93330177,106.9242587,128.4226721,85.97358148,100.5829618,42.16721303,87.52665324,92.21009358,86.99970255,38.80362515,74.45936288,82.57505324,91.64473033,92.17821734,104.3125213,157.1975437,96.78171829,82.45721964,80.34019388,91.74556047,35.0018108,91.68352283,61.65018465,46.04231871,73.12370722,103.9516064,163.237392,133.5291559,95.8940877,130.1118802
Thiomyristoyl,"0,016",87.20802085,78.38605209,119.5365802,132.0033309,121.4516577,90.764853,70.21205578,89.74821725,54.28002918,110.3439868,65.16569301,112.7131291,90.153964,89.26763591,89.70068177,103.276905,81.7183144,130.4904797,120.5790083,80.72319723,95.16762,97.82148467,113.8694946,53.37874169,118.6058682,131.1101618,86.98804981,68.94807403,140.5541697,107.6992055,101.2052038,60.60556224,101.3232689,113.3181209,16.759168,127.1680791,77.10802179,86.87005953,128.0842695,60.94046037,82.77903414,87.69157153,43.55023512,51.72220589,78.46441577,67.10801264,116.6640806,73.80493332,156.4308561,252.7674569,69.60117774,109.567596,93.47200217
Thiomyristoyl,"0,08",104.3710462,114.962817,158.5680571,169.5887555,107.8858688,70.661343,74.57915161,75.87448323,66.5650345,108.030391,119.1803546,100.5857221,79.96087351,92.14552343,85.63384522,80.71386235,84.41084195,100.9283754,68.0209364,76.90056982,85.3328585,89.56588712,103.2337519,59.15687229,83.51361422,66.91047476,109.4902223,68.14301068,73.43917892,85.13773315,115.0257255,94.61361138,67.78542328,32.32679462,81.9139329,88.01460791,130.1907477,151.9769912,111.5611416,108.4918376,86.4854779,48.33666191,15.57549504,73.12111552,198.579796,93.57166148,74.74198908,47.91659322,127.3750072,129.5123021,71.57448355,67.9680121,114.2166564
Thiomyristoyl,"0,400",73.97979297,146.1631254,202.3477777,102.1278496,78.25517651,164.30432,122.3661316,94.53561137,123.9139189,115.8421606,61.25210488,68.34550059,94.86542872,91.7718414,93.78663975,98.15625715,118.7403701,96.47284472,55.88991633,86.39464564,115.4121442,102.137743,99.3746527,107.9486628,52.18422294,156.8373132,108.480447,79.42724385,86.85410006,169.2491809,98.00557735,36.42149275,39.63811398,137.0573502,110.4302023,135.9896694,117.5427149,136.4548424,110.4121307,82.32656425,99.35103497,62.52502014,52.60488656,120.7845379,53.23729029,154.290984,1223.175569,26.81769801,83.6555524,137.7487625,124.0683818,105.810151,84.34499125
Thiomyristoyl,2,80.27361012,54.62567316,90.40879199,111.6946967,76.95061399,96.339092,73.14252632,59.05681028,125.6236478,98.12998258,110.8995459,113.3318661,79.48991173,85.2628077,79.39144608,89.03047623,65.54416136,130.8705152,92.94800363,123.0889046,99.0633458,110.3730354,107.0629443,107.8894574,78.66015241,90.69693265,102.1411232,85.68359623,115.4732993,48.03373404,91.55737212,87.24356104,186.6237828,92.60564728,93.03373069,146.9633964,101.6277236,72.030582,70.65558658,79.74594491,93.76757406,55.13853107,76.85928595,152.0491238,69.71816823,98.20365903,92.51493947,2.106031765,94.85569025,181.2839386,72.68736164,99.01862,90.51180245
Thiomyristoyl,10,61.18915697,184.8011603,111.0807081,130.2964115,105.6239774,122.37842,63.79365369,56.34555452,126.0525744,115.3703126,104.253699,136.3938312,84.62217787,115.9853296,111.2277067,55.34276308,133.8680589,111.2875158,23.98990689,89.13922679,99.19640672,104.9494075,97.92152328,181.1072725,137.9768916,148.6613123,137.4551348,62.0636498,166.9142382,121.4022597,81.39025222,144.8481058,80.33555316,111.1955509,73.380635,148.3292659,57.47281331,92.96216819,103.1718172,90.05138971,142.7477409,83.1856317,107.3240961,106.801613,87.23967735,112.6093691,143.385951,23.95934555,171.2164,144.8357756,50.19110759,84.0005127,120.3260678
Elesclomol,"0,0032",78.50118359,172.7233918,71.01420257,166.144101,79.27110801,53.394704,84.79684269,93.39413895,17.2333257,105.307054,76.49704502,97.76883659,80.22674445,102.3434347,113.8926496,80.06313883,107.3910358,119.2124045,60.48311885,92.29945047,106.8960961,103.2101313,87.54427645,131.5483697,54.70312839,136.0004669,82.1526019,123.306135,129.6203192,73.14529832,96.14301947,74.76210223,84.80470328,56.98809514,69.39781609,125.1923965,93.61774042,108.7363686,102.0640552,82.1604735,88.02035542,33.81824153,88.64819045,126.3211915,106.147266,90.24314233,132.5699288,46.62849897,76.91881916,143.4371631,84.35380067,135.332759,74.88624658
Elesclomol,"0,016",116.8216206,100.236292,203.3266024,205.8975634,82.1234078,57.55623,55.17361293,69.76137468,80.03025777,124.8509486,95.01516991,75.72140885,80.30708499,84.56335067,88.90161273,101.793183,102.1239503,73.56083715,95.9501065,99.46789166,102.0081181,110.4786826,84.26322397,174.3943437,65.47435575,93.82930479,99.83834385,95.83167993,159.0922973,96.8035149,113.5038638,103.4349502,120.0745377,88.0042632,123.5193448,38.8989162,110.667421,114.1846036,123.2725908,73.2499304,38.4160585,112.5155635,109.886848,300.4617126,127.3279229,137.2189293,160.9931386,155.9635984,109.3414228,177.8994757,53.4863383,101.740689,92.11325657
Elesclomol,"0,08",109.9293278,112.6798443,17.24342906,54.58688381,61.05824835,109.11514,52.03362491,105.2368635,73.34335227,198.6649452,92.62642339,80.11846375,17.12449779,93.49399398,32.74545625,92.09796495,109.9790319,123.499893,98.6393405,73.33697559,119.1128611,109.1032914,119.4671351,117.4775718,92.57987072,126.9878799,59.80719113,126.4376171,178.1212821,94.68867314,96.64461625,38.60488787,191.194278,55.5189033,89.31749522,81.16948357,30.80242378,26.5517645,66.87169652,62.41968722,55.45694182,59.49175114,69.11185551,2.615992503,165.7139843,137.4597046,99.01318155,64.13676736,77.74755617,82.78784862,52.34283204,92.0536436,35.95545036
Elesclomol,"0,400",84.62952878,138.8968716,15.59251727,62.78221091,122.9026614,55.322688,74.36992311,57.95104769,85.4871684,131.3757553,80.14882424,91.68549705,100.4508172,62.7060956,59.79361694,107.9510874,85.15477141,97.20071287,116.3165918,104.6056033,150.9749461,87.12913132,85.62443246,108.3326328,54.38899302,67.00647767,127.8219234,110.3495128,72.40211327,124.3815686,102.237652,95.82977592,51.21339049,201.3120633,75.85741354,87.63450972,73.23830237,29.90652486,43.03085659,64.67966625,66.34980492,46.61605391,112.4551549,171.2848213,99.28305663,83.29255839,79.57352034,22.11100256,56.78123927,142.0335075,75.00330986,99.7190635,103.4450119
Elesclomol,2,47.34627691,117.8395917,51.59076469,70.89759594,120.8690325,68.395083,98.72099929,107.8968835,92.30444202,63.3997917,73.52451408,105.6773106,90.0366433,72.18497261,73.89949189,65.17849213,89.25861247,99.75349616,90.50675877,25.47389313,59.69616885,101.6997073,20.57770528,74.79130945,83.78013624,70.21214633,57.32040236,104.6934989,67.85659191,73.59757064,89.91878371,90.13339036,53.51269037,101.8116407,39.0017749,85.70917863,70.08748726,58.2260007,90.13909126,61.96236758,145.4380109,39.06271125,17.07912665,2.79788421,134.4008355,133.3918916,98.06174853,2.148105781,68.10512493,164.9565198,98.54381525,54.8957642,100.8221008
Elesclomol,10,93.22065919,51.06432978,62.60470959,56.14225569,152.994784,107.81345,39.75734503,36.30281831,66.70024633,92.0247563,91.16225006,116.4726873,65.80074854,64.75409463,84.65112479,129.4574466,82.57771604,68.50955386,98.79376627,87.14399163,78.6100091,105.5666381,99.28103894,42.43131055,118.4972121,122.7652313,63.04973534,83.70393627,81.19341539,75.86819749,88.77661233,43.14448006,75.49018178,72.75314407,93.30502272,19.18281871,83.93976801,57.76008608,76.79656963,46.34025033,63.26972207,23.41752696,44.84389041,116.6750846,110.4415079,79.23891363,88.8658873,1.922700942,102.2667585,51.1259363,36.32670157,83.127984,41.70850165
